KR_38	KR_50	KR_51	KR_53	KR_56	KR_57	KR_61	KR_64	KR_08	KR_13	KR_14	KR_15	KR_18	KR_19	KR_21	KR_23	KR_24	KR_25	KR_26	KR_27	KR_28	KR_33	KR_35	KR_48	KR_52
ABLIM2	9.772	10.307	12.643	10.895	7.275	12.221	6.696	13.534	5.607	3.026	2.72	2.558	1.424	8.836	8.624	14.673	12.49	19.633	1.545	6.958	7.017	3.178	6.782	2.183	3.863
ABLIM3	7.318	5.329	8.901	14.843	5.072	13.362	7.293	5.015	2.496	2.48	2.91	1.745	2.545	8.194	9.111	10.674	2.75	8.141	2.748	1.583	5.2	1.46	6.098	2.499	3.153
ABO	1.688	1.316	2.324	1.577	1.406	1.928	0.584	1.824	0.495	0.561	0.446	0.109	0.107	0.741	1.697	1.115	1.533	0.804	0.563	0.356	0.742	0.717	0.383	0.409	0.395
ABR	29.806	23.071	62.934	25.818	25.706	37.88	19.491	22.234	10.56	8.359	6.724	15.808	20.979	51.411	46.77	38.55	31.881	81.944	23.791	22.806	17.145	11.658	27.037	9.773	12.044
ABRA	0	0.008	0	0.021	0.031	0.017	0.015	0	0.011	0	0.014	0.015	0.006	0.029	0	0	0.021	0	0.012	0.035	0	0.007	0.021	0.009	0
ABRACL	13.464	8.468	28.701	9.622	14.401	10.955	22.543	15.912	8.716	11.313	7.469	11.03	10.841	37.432	36.857	25.054	37.762	37.355	18.419	8.28	8.793	13.154	7.56	9.853	9.51
ABT1	4.867	2.967	7.153	4.333	3.304	5.195	4.778	5.497	3.633	3.203	2.73	2.956	3.021	9.262	7.282	7.898	8.238	11.466	2.352	3.841	3.795	2.844	3.808	2.509	3.218
ABTB1	2.949	3.449	2.751	4.656	2.134	3.771	2.046	4.348	1.555	0.753	1.257	1.348	1.577	4.145	4.081	3.573	3.759	5.462	1.584	1.202	2.285	0.923	2.178	0.985	1.699
ABTB2	0.837	0.739	2.063	0.901	0.646	0.82	0.974	0.682	0.672	0.328	0.646	0.658	1.002	1.854	2.143	1.644	1.12	5.376	0.3	1.077	0.59	0.562	0.735	0.969	0.508
AC002310.13	0	0.059	0	0	0	0	0	0	0.032	0.253	0.298	0.017	0.057	0.524	0	0	0.504	0	0	0	0.614	0	0.241	0.192	0.083
AC002365.5	0.347	0.245	0.759	0.751	0.442	0.719	0.274	0.695	0.168	0.126	0.071	0.036	0.132	0.27	0.129	0.259	0.05	0.418	0.093	0.044	0.146	0.154	0.054	0.086	0
AC002398.9	0.903	0.218	1.498	0.543	0.343	1.17	0.017	0.309	0.924	0.596	0.395	0.908	0.276	0.832	1.351	1.787	0.811	0.851	0.384	0.621	0.589	0.745	1.1	0.217	0.796
AC002985.3	0.254	0.25	0.393	0.469	0.257	0.551	0.287	0.303	0.114	0.169	0.077	0.258	0.233	0.149	0.945	0.998	0.285	1.189	0.082	0.391	0.35	0.082	0.545	0.166	0.09
AC003002.6	0.509	0.61	0.587	0.823	0.672	0.628	0.464	0.936	0.429	0.245	0.344	0.242	0.148	0.686	1.086	0.427	0.783	0.734	0.286	0.225	0.55	0.274	0.393	0.661	0.13
AC003005.4	0	0	0	0.058	0.033	0.027	0.08	0	0.03	0	0	0	0.098	0	0	0	0	0	0	0	0.09	0	0	0	0.095
AC003006.7	0.15	0.047	0.881	0.078	0	0.384	0.216	0.2	0.11	0.146	0.66	0.253	0	0.264	0.101	0.095	0.137	0.707	0.08	0.841	0	0.182	1.071	0.245	0.309
AC003976.2	5.637	2.727	5.917	2.981	4.978	5.878	3.666	5.196	1.476	0.96	0.95	2.011	1.145	4.785	4.319	4.056	5.475	9.753	1.934	2.557	2.086	1.346	1.675	0.965	0.843
AC004076.7	0	0	0.623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.255	0.097	0
AC004076.9	0.941	1.406	0.62	1.425	0.854	0.686	0.404	0.785	1.261	1.403	1.02	0.212	0.686	0.51	0.033	0.928	0.551	0.691	0.284	1.112	1.366	0.859	1.495	1.196	1.463
AC004158.1	0.552	0.253	0.705	0.485	0.31	0.802	0.438	0.641	0	0.494	0.162	0.329	0.236	0.241	0.373	0	0	0	0.296	0	0.16	0.306	0.778	0	0.328
AC004381.6	2.658	1.568	3.29	1.775	1.891	1.792	2.713	3.247	0.56	0.877	1.395	2.287	0.997	3.261	2.089	1.838	2.468	5.424	1.281	3.644	1.29	0.971	0.557	0.497	1.124
AC004754.3	0.084	0.061	0.059	0.061	0.054	0.129	0.057	0.04	0.028	0.066	0.06	0.019	0	0.148	0.14	0.136	0.083	0.057	0.031	0.082	0.103	0.02	0.019	0.07	0.166
AC004813.1	13.904	4.594	18.393	10.845	9.578	17.15	12.938	12.609	2.605	4.085	4.486	10.797	4.857	8.218	8.414	8.647	4.538	11.74	12.431	8.98	10.248	5.317	8.002	4.058	5.957
AC004824.2	0	0.738	0	0	0.402	0	0.424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.429	0	0
AC004953.1	0	0.098	0.143	0	0.095	0	0	0	0	0	0	0	0	0	0	0	0.135	0.464	0	0	0	0	0	0	0
AC005477.1	0.222	0.029	0.298	0.089	0.267	0	0.188	0.109	0.082	0.348	0.127	0.191	0	0	0.392	0.109	0.255	0.332	0.188	0.136	0.344	0.052	0.165	0.165	0.115
