KR_38	KR_50	KR_51	KR_53	KR_56	KR_57	KR_61	KR_64	KR_08	KR_13	KR_14	KR_15	KR_18	KR_19	KR_21	KR_23	KR_24	KR_25	KR_26	KR_27	KR_28	KR_33	KR_35	KR_48	KR_52
SLC35F6	10.369	6.891	16.864	10.469	8.083	12.175	7.958	10.897	4.508	4.07	3.61	5.828	5.012	17.841	15.503	14.432	14.488	25.391	4.772	5.961	6.037	4.834	7.684	3.384	4.499
SLC35G1	1.643	0.994	2.362	0.901	0.758	1.626	1.961	1.506	0.537	0.729	0.825	0.598	0.462	2.183	1.705	1.951	2.447	2.245	0.949	0.706	0.605	1.155	0.777	0.504	0.832
SLC35G2	1.303	1.639	1.878	1.29	1.413	2.393	1.327	2.471	0.78	1.112	0.942	0.922	0.993	4.076	1.915	0.988	3.304	2.421	1.163	0.796	0.965	0.842	0.927	1.085	1.25
SLC35G3	0	0.007	0.02	0.024	0.012	0.01	0.01	0.035	0.009	0	0	0	0	0.024	0	0	0	0	0.028	0.037	0	0	0	0.007	0.005
SLC35G4	0	0	0	0	0.007	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC35G5	0.262	0.063	0.195	0.103	0.084	0.269	0.118	0.163	0.021	0.055	0.082	0.171	0.109	0.056	0.09	0.162	0.085	0.229	0.059	0.078	0.038	0.129	0.1	0.064	0.048
SLC35G6	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC36A1	6.09	4.53	9.726	6.613	5.01	6.589	4.467	8.043	0.948	2.652	3.467	3.194	6.332	5.352	6.303	5.104	5.876	12.575	4.948	2.654	5.132	4.588	3.705	1.548	4.47
SLC36A2	0.104	0.091	0.098	0.138	0.152	0.166	0.114	0.243	0.022	0.016	0.023	0.049	0.058	0.045	0.053	0.026	0.014	0.061	0.098	0.034	0.06	0.027	0.064	0.022	0.02
SLC36A3	0.068	0.008	0.113	0.027	0.122	0.041	0.058	0.092	0	0.059	0.048	0.084	0.075	0.059	0.059	0.025	0.135	0.151	0.089	0.029	0.054	0.06	0.006	0.007	0.025
SLC36A4	11.2	8.084	12.239	14.659	7.8	14.358	9.308	16.946	6.168	7.348	8.283	6.97	5.195	12.301	9.498	10.868	9.039	18.869	13.619	7.261	6.351	8.439	8.485	4.744	6.092
SLC37A1	15.39	6.957	16.183	17.173	7.162	15.127	9.968	11.811	6.64	4.566	2.832	4.253	3.692	9.992	12.319	15.295	8.434	11.403	4.106	3.437	8.513	4.208	7.33	5.297	5.807
SLC37A2	1.757	2.02	4.825	1.754	2.496	2.62	2.041	3.955	0.817	1.283	1.245	2.144	3.68	3.686	4.673	4.195	5.515	3.923	4.266	1.28	1.575	1.426	1.31	0.807	3.053
SLC37A3	14.004	8.864	21.049	12.917	10.274	15.269	11.289	19.799	6.045	7.582	7.721	7.427	6.205	22.547	19.273	17.632	17.014	20.855	6.293	10.27	8.821	10.445	12.919	5.316	5.598
SLC37A4	3.337	2.373	2.418	4.309	2.277	4.318	1.74	8.135	1.78	1.039	0.785	0.923	0.907	4.38	2.504	4.409	2.963	2.002	1.287	1.477	2.243	0.899	3.454	0.882	2.023
SLC38A1	29.502	19.401	39.449	46.848	21.414	52.678	40.064	78.678	18.511	18.386	16.942	17.885	14.647	58.36	28.491	44.206	42.023	51.96	12.936	23.552	24.836	14.301	40.132	14.913	16.367
SLC38A10	10.605	9.063	14.976	8.965	8.301	10.552	5.767	7.501	3.636	4.454	3.634	4.666	5.396	15.611	20.653	19.568	15.495	24.043	4.143	6.021	6.9	5.007	6.498	4.242	5.911
SLC38A11	3.339	3.225	21.367	2.52	1.168	3.373	2.566	4.683	1.585	1.051	4.779	0.387	0.456	0.66	0.96	2.85	0.613	3.451	0.752	1.158	2.094	1.057	1.626	2.496	1.618
SLC38A2	161.996	80.387	217.996	134.809	101.79	164.42	190.041	193.969	68.939	42.717	113.817	111.249	95.567	251.605	238.815	241.53	298.464	431.914	107.046	140.811	79.403	88.483	176.769	46.58	58.78
SLC38A3	0.201	0.089	0.154	0.062	0.073	0.003	0.089	0.035	0	0.003	0.004	0.065	0.038	1.483	0.06	0.178	0.843	0.772	0.099	0.454	0.075	0.219	0.309	0.017	0.177
SLC38A4	3.704	2.335	4.766	6.268	2.419	4.403	4.573	7.189	1.609	2.019	4.937	1.067	2.154	2.806	6.894	5.215	3.168	3.591	2.265	1.945	2.225	3.905	2.535	2.114	1.586
SLC38A5	2.682	0.38	34.396	0.109	6.274	0.369	7.705	0.283	0.323	0.683	2.274	7.902	10.295	10.984	28.993	2.358	8.4	18.753	8.052	4.706	3.664	3.834	0.262	1.158	1.479
SLC38A6	11.151	9.464	16.176	12.454	12.762	11.748	12.432	19.834	4.952	5.834	12.635	9.152	15.465	15.293	15.03	9.189	8.296	20.018	22.496	4.198	7.4	9.456	5.577	3.734	8.597
SLC38A7	6.459	3.753	10.762	6.501	4.81	6.724	5.921	5.945	1.896	2.157	2.162	2.661	3.642	5.832	7.627	5.759	6.646	11.957	4.367	2.34	3.376	3.504	2.588	1.654	1.946
SLC38A8	0	0	0.03	0.021	0.079	0	0	0	0	0	0	0.034	0.031	0.058	0.051	0	0.113	0	0.013	0.075	0.027	0	0.127	0.015	0.011
SLC38A9	28.594	19.061	48.014	32.261	22.769	28.175	34.568	37.575	13.06	16.978	19.982	18.314	21.745	24.657	29.919	30.044	25.644	38.565	27.754	10.421	18.594	20.714	15.856	13.415	16.384
SLC39A1	19.217	11.038	28.092	20.76	14.557	19.691	17.551	21.748	11.853	10.473	9.493	11.398	11.118	37.428	31.745	33.164	38.961	38.28	12.922	11.995	11.553	9.485	13.424	9.041	13.787
SLC39A10	14.326	14.965	18.58	16.885	9.035	16.24	11.905	21.407	9.477	8.116	11.356	8.048	7.975	16.865	12.209	20.017	17.554	21.377	8.206	5.984	9.8	9.692	10.827	5.168	8.118
SLC39A11	19.756	13.311	22.694	21.463	14.477	20.477	15.53	23.379	5.527	6.64	5.196	7.135	8.059	16.918	15.744	14.93	11.421	16.746	17.094	8.665	10.222	9.267	11.097	5.997	5.957
SLC39A12	0.005	0	0.007	0	0.013	0.006	0.012	0.039	0	0.032	0.024	0	0.029	0	0.038	0.012	0.019	0.018	0.053	0	0	0	0	0.004	0.017
SLC39A13	9.883	6.579	16.847	4.466	4.407	6.091	5.422	4.957	2.27	2.269	3.896	3.182	4.221	12.654	15.23	14.279	11.217	18.986	2.569	4.363	6.248	4.712	3.516	2.286	4.319
SLC39A14	19.982	16.311	34.76	17.167	12.864	21.137	18.239	32.698	6.459	2.897	8.631	10.237	4.808	36.268	34.458	22.128	27.015	70.673	13.846	15.848	12.086	7.432	18.239	4.031	13.36
SLC39A2	6.022	4.578	19.59	7.042	12.658	7.82	9.597	7.657	2.087	4.763	2.722	3.549	1.488	18.368	17.62	12.114	21.2	25.707	6.056	6.259	4.457	4.379	2.684	7.429	2.916
SLC39A3	7.245	3.648	13.151	6.007	5.125	7.545	5.306	6.845	2.324	2.052	1.828	3.551	2.983	7.608	8.353	9.865	8.826	12.085	3.487	3.542	3.782	3.237	3.827	1.872	4.949
SLC39A4	1.823	1.62	2.581	2.333	0.895	2.487	1.56	3.423	1.29	1.489	0.922	1.025	1.185	3.999	1.853	4	1.604	2.488	0.667	1.376	1.279	0.602	3.905	0.985	1.398
SLC39A5	0.385	0.159	0.402	0.119	0.253	0.233	0.22	0.247	0.04	0.052	0.125	0.072	0.158	0.162	0.238	0.367	0.378	0.35	0.083	0.442	0.142	0.053	0.279	0.031	0.036
SLC39A6	49.517	25.231	75.102	32.67	35.955	38.847	52.955	37.751	18.84	32.575	28.84	27.588	15.286	72.687	66.045	72.086	91.947	70.2	23.499	27.313	17.97	25.094	23.209	22.073	16.495
SLC39A7	19.515	10.678	31.219	12.461	10.919	15.247	16.159	14.97	6.407	6.454	5.371	7.746	8.831	26.273	27.79	29.415	30.494	33.466	10.519	10.053	11.679	10.482	10.075	8.336	11.449
SLC39A8	1.834	1.636	7.14	1.636	7.458	1.675	2.178	1.864	1.033	3.607	1.72	30.698	6.866	15.796	40.979	1.758	10.747	34.274	41.448	1.827	2.046	2.108	1.795	1.972	5.035
SLC39A9	37.676	21.378	49.229	33.699	25.996	40.119	36.263	47.875	17.737	14.784	15.662	14.878	11.476	43.915	39.364	43.795	42.15	50.158	17.377	20.684	19.873	18.476	27.507	14.077	17.435
SLC3A1	0.165	0.081	0.183	0.239	0.134	0.151	0.087	0.273	0.111	0.116	0.046	0.11	0.042	0.275	0.103	0.24	0.152	0.055	0.117	0.03	0.224	0.174	0.15	0.056	0.089
SLC3A2	80.304	43.049	81.082	61.04	32.002	63.771	80.84	84.795	21.058	11.759	23.164	26.488	21.934	95.135	51.346	103.294	82.204	130.338	39.017	71.864	37.272	25.451	52.291	13.464	22.725
SLC40A1	2.537	4.152	2.057	0.497	3.673	3.69	2.208	3.184	3.091	6.347	2.503	1.709	2.185	8.905	4.223	5.612	39.991	4.397	3.309	0.965	2.548	1.272	0.166	2.265	3.235
SLC41A1	3.439	2.118	3.613	3.069	1.69	3.686	2.677	3.611	1.302	1.028	1.708	1.433	1.025	5.118	3.512	4.309	5.119	8.394	1.142	1.638	1.52	1.31	2.115	0.809	1.768
SLC41A2	4.754	2.432	14.388	0.567	6.872	1.818	3.162	1.599	1.019	1.757	5.422	12.851	11.764	11.847	17.826	6.401	11.342	21.073	28.032	4.828	5.122	6.932	1.458	2.413	8.287
SLC41A3	10.322	4.656	13.128	9.581	6.143	10.686	7.073	10.086	4.907	3.572	2.931	2.497	2.825	10.25	6.132	12.171	9.2	12.494	2.998	2.504	4.923	4.076	5.584	2.164	4.413
SLC43A1	0.513	0.712	0.877	0.041	0.596	0.349	0.165	0.21	0.075	0.222	0.177	0.354	0.408	0.692	1.142	0.374	0.901	0.886	0.312	0.271	0.679	0.416	0.144	0.223	0.454
SLC43A2	1.942	2.03	6.803	0.638	3.786	1.099	1.334	0.683	0.313	1.392	0.721	4.774	4.451	3.221	9.312	2.612	5.744	10.753	9.113	1.258	1.488	1.343	0.583	1.108	1.296
SLC43A3	2.776	2.559	6.014	1.015	3.749	2.633	3.66	1.402	0.515	1.191	0.997	5.777	11.651	11.044	10.607	4.799	6.81	11.449	17.3	1.469	1.648	1.99	1.081	1.302	6.406
SLC44A1	9.444	8.214	16.309	6.502	10.329	9.755	8.437	10.662	4.129	5.083	5.851	8.889	6.697	15.957	25.418	12.712	20.221	23.031	11.691	7.196	7.548	8.674	5.795	4.622	8.174
SLC44A2	52.269	30.15	62.075	50.316	28.931	48.398	44.291	48.764	18.263	14.894	11.591	17.897	10.411	53.62	52.305	61.871	62.148	63.206	13.354	20.497	24.35	18.404	28.889	21.946	21.007
SLC44A3	5.601	2.882	11.179	5.27	3.678	4.035	4.614	5.175	2.417	3.766	3.238	2.386	2.308	5.975	6.76	6.112	6.965	7.364	2.538	1.984	3.072	3.508	2.183	2.689	1.996
SLC44A4	0.431	0.11	1.003	0.119	0.206	0.147	0.166	0.163	0.033	0.355	0.118	0.411	0.156	0.617	1.184	0.862	0.32	2.199	1.201	1.149	0.174	0.601	0.119	0.349	0.024
SLC44A5	0.521	7.474	12.435	0.507	6.81	13.452	6.326	1.328	0.293	16.635	3.461	2.978	0.236	7.433	0.565	13.581	7.376	7.397	3.082	5.098	3.443	8.495	5.554	5.14	0.465
SLC45A1	0.139	0.086	0.201	0.106	0.064	0.221	0.059	0.047	0.136	0.189	0.055	0.071	0.049	0.345	0.335	0.149	0.232	0.148	0.037	0.155	0.056	0.085	0.078	0.089	0.13
SLC45A2	0.629	0	0.475	0	0.028	0.085	0.023	0	0	0.029	0.017	0.076	0.022	0.021	0.242	0.148	0.027	0.207	0	0.092	0.078	0	0	0.009	0.091
SLC45A3	0.18	0.335	0.335	0.04	0.246	0.179	0.103	0.117	0.057	0.041	0.054	0.117	0.301	0.211	0.296	0.327	0.324	0.493	0.297	0.139	0.162	0.108	0.097	0.068	0.179
SLC45A4	6.686	4.615	6.516	7.378	5.032	7.282	4.888	5.082	5.392	4.81	1.945	3.391	2.926	7.486	13.54	17.842	8.716	7.447	3.737	2.123	2.55	1.982	3.19	4.149	3.817
SLC46A1	6.085	3.255	5.428	4.957	3.611	7.293	3.272	8.005	1.905	2.227	1.367	0.985	1.714	4.683	3.466	6.417	3.239	3.479	1.569	1.371	2.448	1.983	3.108	1.818	2.637
SLC46A2	0.159	0.08	0.25	0.005	0.148	0.097	0.062	0.076	0.049	0.017	0.041	0.1	0.359	0.27	0.188	0.012	0.264	0.247	0.231	0.055	0.034	0.046	0.052	0.023	0.141
SLC46A3	8.105	6.528	9.967	5.993	5.795	6.263	5.929	11.6	2.717	3.031	6.696	2.736	2.927	4.753	9.458	6.215	6.409	9.255	5.21	3.485	4.642	3.789	3.535	3.238	5.064
SLC47A1	0.389	0.514	0.72	0.522	0.679	1.212	0.595	0.394	0.263	0.563	0.184	0.326	0.969	1.102	0.296	0.553	0.605	0.806	0.579	0.418	0.358	0.317	0.598	0.562	1.111
SLC47A2	13.361	10.143	16.592	13.932	4.312	12.589	14.376	38.512	5.358	1.108	8.313	1.272	2.082	3.255	13.072	16.772	11.908	10.425	0.937	7.348	9.58	3.266	3.209	1.507	4.268
SLC48A1	9.133	6.543	14.186	10.748	5.205	11.4	6.493	11.004	3.594	3.592	2.7	2.022	2.408	10.378	7.52	11.838	7.458	8.753	1.644	2.886	4.134	3.137	4.643	2.66	4.635
SLC4A1	0.035	0.024	0.031	0.029	0.026	0.05	0.008	0.027	0.007	0.005	0.009	0.003	0.017	0.012	0.012	0	0.009	0.017	0.014	0.022	0.003	0.01	0.04	0.004	0.005
SLC4A10	0.028	0.227	0.444	0.263	0.254	0.278	0.226	0.628	0.055	0.134	0.238	0.239	0.049	0.225	0.287	0.129	0.02	0.516	0.315	0.097	0.077	0.168	0.114	0.056	0.093
SLC4A11	14.944	10.562	16.137	14.76	6.368	30.937	14.396	13.691	8.746	18.245	3.475	2.318	1.918	58.393	11.503	20.777	39.832	14.437	2.726	3.967	11.215	2.662	6.69	11.273	10.941
SLC4A1AP	11.644	7.118	17.619	12.149	9.774	11.379	12.884	14.533	6.269	6.505	6.174	6.745	6.472	18.741	16.601	15.66	16.825	20.381	7.175	7.347	7.034	6.78	7.559	6.193	6.279
SLC4A2	10.632	5.998	12.691	7.738	7.215	8.21	5.238	6.692	3.821	4.092	4.255	5.051	5.912	15.565	14.417	19.868	13.093	17.604	4.734	6.775	5.241	4.332	7.093	2.779	4.616
SLC4A3	1.039	0.709	3.013	0.419	0.556	0.792	1.071	0.778	0.221	0.179	0.42	0.376	0.863	0.785	1.234	1.55	1.247	1.637	0.433	0.581	0.719	0.384	0.409	0.107	0.2
SLC4A4	4.483	5.708	5.036	2.401	0.722	21.92	5.924	9.62	6.466	12.123	7.13	0.444	0.624	28.62	1.547	15.46	20.781	10.297	1.59	1.637	4.828	3.272	2.696	5.955	10.233
SLC4A5	1.594	1.331	1.709	3.03	0.863	1.942	1.309	1.639	0.614	0.32	0.704	0.177	0.203	1.018	0.711	1.196	0.882	1.79	0.413	0.675	1.184	0.528	1.655	0.433	0.793
SLC4A7	20.822	19.049	35.577	30.178	28.203	26.329	23.795	36.137	14.513	18.226	25.51	36.498	21.056	100.181	45.659	35.132	46.851	106.45	31.321	34.621	19.046	24.566	29.369	14.212	20.527
SLC4A8	2.382	7.283	3.902	0.439	5.156	1.815	3.076	0.983	0.574	0.741	1.427	3.01	3.262	2.12	3.534	2.288	4.575	9.129	5.268	0.697	1.292	1.285	1.901	1.047	1.662
SLC4A9	0.924	0.415	0.752	0.878	0.411	1.196	0.57	0.92	0.122	0.212	0.165	0.025	0.097	0.443	0.412	0.593	0.529	0.299	0.138	0.351	0.116	0.172	0.25	0.105	0.305
SLC50A1	14.15	7.803	17.702	14.482	12.543	15.548	14.221	14.754	8.015	9.02	7.113	8.932	6.754	29.991	20.506	25.178	20.381	21.985	6.905	8.914	9.698	7.444	12.167	10.074	10.491
SLC51A	5.353	5.057	4.835	11.183	5.035	12.524	2.938	14.723	3.313	1.871	0.808	1.88	0.923	11.281	13.896	4.577	6.766	5.714	2.412	2.86	2.545	2.931	8.28	3.077	2.108
SLC51B	0.1	0.028	0	0.012	0.029	0	0.012	0.036	0	0	0	0	0.042	0.03	0.029	0.025	0.022	0	0.028	0	0	0	0	0	0
SLC52A1	0.259	0.362	0.222	0.072	0.146	0.128	0.102	0.136	0.031	0.045	0.078	0.123	0.068	0.223	0.108	0.277	0.18	0.256	0.082	0.134	0.068	0.063	0.05	0.048	0.075
SLC52A2	6.053	3.139	12.165	3.895	4.027	3.915	3.717	3.738	2.127	2.451	2.47	4.009	4.315	14.077	10.228	9.289	13.124	17.221	2.612	4.033	3.247	2.441	3.774	2.235	2.975
SLC52A3	4.858	4.164	5.737	8.161	3.88	6.56	5.357	6.203	3.472	2.875	1.18	2.533	1.105	16.853	10.131	10.93	14.128	9.308	2.757	2.106	2.762	2.513	3.648	4.672	2.535
SLC5A1	0.065	0.074	0.377	0.033	0.048	0.17	0.095	0.092	0.037	0.025	0.042	0.079	0.115	0.156	0.112	0.367	0.178	1.711	0.404	0.011	0.043	0.068	0.035	0.019	0.029
SLC5A10	0.099	0.098	0.289	0.054	0.122	0.195	0.048	0.164	0.057	0.069	0.03	0.127	0.061	0.258	0.293	0.058	0.652	0.23	0.123	0.244	0.056	0.046	0.174	0.044	0.036
SLC5A11	0.253	0.038	0.065	0.15	0.331	0.082	0.053	0.079	0.031	0.038	0.018	0.118	0.006	0.107	0.075	0.033	0.195	0.089	0.1	0.298	0.301	0.05	0.073	0.017	0.118
SLC5A12	0.309	0.103	0.487	0.28	0.216	0.379	0.195	0.5	0.152	0.063	0.392	0.11	0.119	0.103	0.268	0.301	0.094	0.414	0.078	0.159	0.196	0.133	0.114	0.072	0.18
SLC5A2	0.091	0.048	0.092	0.105	0.058	0.212	0.051	0.169	0.019	0.187	0	0.076	0.069	0.06	0.046	0.399	0.18	0.032	0.023	0	0.086	0.042	0.021	0.012	0.015
SLC5A3	13.073	7.666	8.25	6.617	9.079	12.901	9.785	11.49	3.647	5.554	7.922	6.046	5.181	18.496	14.129	12.743	12.453	23.768	26.514	4.155	6.843	6.201	6.549	3.829	7.042
SLC5A4	0.066	0.067	0.053	0.011	0.114	0.012	0.016	0.039	0.006	0.031	0.014	0.028	0.084	0.027	0.039	0	0.01	0.055	0.092	0	0.05	0	0.021	0.017	0.037
SLC5A5	0.03	0.016	0.04	0.016	0.017	0.02	0.024	0.035	0.005	0.006	0.003	0.075	0.023	0.046	0.013	0.005	0.01	0.018	0.052	0.03	0.034	0	0.025	0.018	0.01
SLC5A6	6.871	3.737	8.744	5.155	3.625	7.938	3.675	6.232	1.884	2.182	1.979	2.215	2.014	8.148	4.595	6.67	5.981	7.097	3.029	3.041	2.687	2.48	3.871	2.055	2.46
SLC5A7	0.003	0	0.011	0.017	0	0.003	0.003	0.077	0	0.003	0	0.004	0	0	0	0	0	0	0.013	0	0	0	0	0	0
SLC5A8	0.018	0.007	0	0	0	0.003	0	0.027	0.003	0	0	0.004	0.018	0	0.015	0.019	0.011	0.02	0.106	0.01	0.008	0.013	0	0	0
SLC5A9	2.128	1.05	1.835	1.81	1.848	2.55	2.055	2.078	0.566	0.889	0.794	0.15	0.327	0.827	1.119	1.004	0.477	0.669	0.837	0.486	0.926	0.703	0.862	0.274	0.409
SLC6A1	0.073	0.028	0.295	0.022	0.053	0.034	0.032	0.047	0.005	0.016	0.033	0.063	0.033	0.028	0.13	0.101	0.058	0.404	0.077	0.007	0.041	0.103	0.006	0.084	0.053
SLC6A11	0.073	0.076	0.449	0.038	0.029	0.057	0.151	0.143	0.017	0.025	0.089	0.07	0.561	0.153	0.249	0.072	0.388	1.346	0.257	0.045	0.03	0.126	0.014	0.072	0.018
SLC6A12	0.267	0.082	0.182	0.116	0.374	0.304	0.07	0.275	0.019	0.075	0.103	0.675	0.673	0.286	0.776	0.21	0.144	0.737	1.017	0.084	0.205	0.034	0.069	0.101	0.627
SLC6A13	0.117	0.153	0.109	0.068	0.147	0.228	0.125	0.193	0.021	0.135	0.083	0.341	0.134	0.374	0.083	0	0.607	0.494	0.32	0.126	0.31	0.017	0.067	0.039	0
SLC6A14	33.863	0.55	71.017	0.891	13.14	0.63	43.219	0.087	3.281	13.793	10.442	53.383	18.965	18.837	47.354	28.239	8.637	54.713	28.318	3.204	5.823	19.937	0.47	35.132	2.574
SLC6A15	0.776	1.364	11.982	3.127	2.316	1.71	2.172	3.531	1.802	0.47	1.284	2.141	2.319	3.949	7.595	0.487	5.75	6.013	1.166	0.779	0.943	2.069	2.065	0.453	0.662
SLC6A16	0.683	0.624	1.194	0.279	0.429	0.92	0.366	0.263	0.035	0.108	0.152	0.357	0.328	0.45	0.996	0.393	0.265	0.771	1.189	0.37	0.2	0.37	0.066	0.06	0.153
SLC6A17	0.581	1.3	2.259	2.565	0.149	2.483	0.584	1.969	0.387	0.153	0.261	0.102	0.085	0.904	0.37	0.937	0.291	0.484	0.049	0.289	0.869	0.219	2.22	0.206	0.281
SLC6A18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0
SLC6A19	0	0	0	0	0	0	0	0.008	0	0	0	0	0.002	0	0	0.007	0	0	0	0	0	0	0	0	0
SLC6A2	0.23	0.068	0.865	0.041	0.122	0.124	0.47	0.151	0.065	0.018	0.061	0.04	0.429	0.078	0.163	0.09	0.024	0.249	0.087	0.1	0.021	0.038	0.016	0.063	0.009
SLC6A20	5.978	5.428	2.751	7.693	1.331	8.202	4.097	10.536	3.235	1.279	1.373	1.399	0.23	5.625	1.356	5.982	3.699	5.59	0.582	4.25	3.054	1.242	13.005	1.802	2.12
SLC6A3	0.013	0.026	0	0	0	0.04	0.012	0	0	0	0.015	0	0.003	0	0.006	0	0.009	0	0.005	0.019	0	0	0.015	0.009	0
SLC6A4	6.982	4.983	4.867	3.781	2.696	2.436	4.746	7.123	1.484	0.145	1.83	0.178	0.102	0.621	0.453	4.158	1.815	2.838	0.129	2.584	1.643	0.951	1.032	0.575	1.172
SLC6A5	0.022	0.008	0	0.021	0.009	0.011	0.003	0.019	0	0.002	0.002	0.006	0.002	0.004	0	0.011	0.003	0.006	0.024	0	0	0	0	0.012	0.011
SLC6A6	29.508	22.081	33.809	15.018	20.177	15.192	13.171	13.712	6.269	5.419	8.952	7.371	14.267	29.137	23.33	30.561	25.396	75.248	16.139	11.616	15.044	16.648	8.53	8.44	11.483
SLC6A7	0.015	0.018	0.035	0.019	0.031	0.012	0.038	0.017	0	0	0.047	0.035	0.016	0.018	0.011	0.036	0.054	0.032	0.084	0.016	0.054	0.013	0	0	0.011
SLC6A8	4.008	2.709	5.12	3.752	4.536	3.503	3.406	3.749	1.389	1.357	1.393	2.369	6.133	18.606	11.707	8.076	13.324	22.466	4.242	4.718	2.96	3.945	3.409	1.49	1.927
SLC6A9	4.011	2.542	4.466	5.007	3.455	8.054	3.301	4.603	3.38	1.928	1.559	1.947	1.056	9.493	8.788	7.661	6.031	10.563	1.042	4.067	1.756	1.576	5.806	2.669	1.772
SLC7A1	15.429	10.825	15.418	6.221	5.652	10.078	14.117	16.802	3.176	2.606	4.741	4.067	3.041	27.035	7.577	16.94	11.16	27.979	2.352	9.993	4.929	2.563	5.715	2.358	5.317
SLC7A10	0.027	0.01	0.028	0.037	0.042	0.042	0.007	0.057	0	0	0.024	0.007	0.015	0.05	0.093	0.064	0.037	0.088	0.045	0.029	0.025	0.009	0.007	0.019	0.024
SLC7A11	7.13	8.864	2.803	8.095	2.574	14.017	14.47	19.41	4.078	3.863	9.65	2.009	2.69	10.757	1.897	13.101	2.738	10.345	25.17	2.996	4.144	1.173	5.659	1.756	3.966
SLC7A13	0.042	0.013	0.043	0.023	0.033	0.035	0.054	0.131	0	0	0.011	0	0	0.085	0	0.033	0	0.089	0.034	0.04	0.038	0	0.011	0	0
SLC7A14	0.325	0.521	0.512	0.07	0.08	0.321	0.381	0.211	0.066	0.146	0.271	0.023	0.093	0.259	0.125	0.08	0.154	0.773	0.195	0.111	0.031	0.151	0.109	0.106	0.13
SLC7A2	10.189	6.728	33.682	1.741	3.669	2.407	11.137	5.421	1.337	1.207	3.292	3.455	1.107	2.457	9.819	6.725	7.54	48.046	3.006	7.502	2.743	4.676	2.016	1.725	3.438
SLC7A3	0	0.004	0.006	0	0	0	0.005	0.014	0	0	0.437	0	0	0.012	0	0.029	0	0.016	0.005	0	0	0	0	0	0.014
SLC7A4	0.585	0.315	0.545	0.164	0.156	0.507	0.8	0.395	0.124	0.203	0.068	0.059	0.125	1.219	0.125	0.749	0.328	0.498	0.038	0.291	0.082	0.125	0.112	0.078	0.151
SLC7A5	7.939	3.998	9.839	7.261	4.225	10.139	5.187	6.984	4.196	3.113	3.444	5.073	5.051	24.554	7.877	11.683	20.292	26.999	2.689	8.3	2.989	4.15	4.165	1.159	1.924
SLC7A6	23.661	13.505	22.251	23.714	12.182	27.533	15.386	28.947	12.661	4.714	6.439	4.514	4.393	11.33	12.601	20.699	12.081	19.13	4.858	8.122	11.685	7.93	22.09	6.016	9.192
SLC7A6OS	4.601	3.133	7.56	4.862	3.878	4.866	3.52	5.689	3.198	2.745	2.339	2.541	2.553	5.3	4.646	6.915	4.743	8.497	3.103	2.563	3.776	3.038	3.987	2.147	3.331
SLC7A7	0.547	0.735	1.485	1.408	4.431	1.16	0.932	0.946	0.58	1.528	0.761	6.909	7.398	8.244	5.532	1.176	3.122	3.819	17.883	0.382	1.226	1.043	0.444	0.784	3.995
SLC7A8	51.909	24.121	35.292	37.486	10.167	31.625	31.618	55.964	10.799	4.494	14.102	3.615	2.941	17.133	14.848	66.7	23.122	58.17	3.879	23.781	17.849	8.862	22.801	6.508	10.981
SLC7A9	0.368	0.239	0.273	0.245	0.421	0.455	0.264	0.314	0.104	0.135	0.067	0.091	0.174	0.239	0.444	0.343	0.175	0.233	0.221	0.229	0.047	0.115	0.117	0.04	0.093
SLC8A1	1.825	1.536	5.985	1.224	7.164	1.563	3.792	3.167	1.021	3.426	2.027	13.964	13.12	11.196	11.531	1.695	4.332	10.371	12.514	3.332	3.379	2.722	1.214	2.635	3.974
SLC8A2	0.08	0.053	0.092	0.101	0.092	0.249	0.091	0.033	0.092	0.121	0	0.126	0.009	0.301	0.397	0.238	0.281	0.755	0.047	0.095	0.044	0.031	0.109	0.16	0.152
SLC8A3	0.056	0.198	0.058	0.018	0.066	0.056	0.032	0.113	0.035	0.021	0.023	0.014	0.047	0.039	0.181	0.052	0.112	0.197	0.114	0.013	0.042	0.014	0.047	0.02	0.086
SLC8B1	9.448	6.769	12.551	12.132	9.862	12.114	7.524	9.232	4.498	4.153	2.735	5.356	6.288	15.792	13.409	10.283	14.563	22.03	10.605	4.944	6.605	4.743	9.947	4.197	4.812
SLC9A1	5.969	3.73	5.108	6.813	3.196	6.179	4.617	5.47	2.724	2.078	2.012	1.761	1.859	9.719	4.671	9.306	5.709	16.185	1.631	3.551	2.542	1.59	3.877	2.347	1.977
SLC9A2	0.448	0.668	0.089	0.044	0.063	0.233	0.228	0.301	0.011	0.055	0.014	0.158	0.041	0.018	0.016	0.06	0.051	0.072	0.016	0.046	0.009	0.053	0.061	0.035	0.038
SLC9A3	0.041	0.05	0.141	0	0.003	0.012	0.031	0.077	0	0.068	0	0.147	0.046	0.074	0.01	0.067	0.031	0.127	0.053	0.166	0.021	0.085	0	0	0.004
SLC9A3R1	12.339	5.94	23.636	10.029	8.34	11.55	7.897	9.548	7.16	7.65	4.374	4.538	6.924	22.765	17.623	24.902	22.68	29.942	5.192	12.63	6.978	6.807	9.765	6.643	6.63
